competitor_name,services,source_url,scraped_at
Formosa Group Hollywood,,https://formosagroup.com/hollywood/,2026-03-14T14:46:13.981Z
Levels Audio,ADR; Dialogue Editing; Foley; Mix,https://www.levelsaudio.com/,2026-03-14T14:46:14.971Z
Transported Audio,ADR; Dolby Atmos; Mix,https://transportedaudio.com/,2026-03-14T14:46:15.972Z
Margarita Mix Hollywood,Audio Post,https://margaritamix.com/,2026-03-14T14:46:16.975Z
Outloud Audio,ADR; Animation Dialogue; VO Recording,https://www.outloudaudio.com/,2026-03-14T14:46:17.976Z
LA Studios (FotoKem),ADR,https://fotokem.com/lastudios/,2026-03-14T14:46:18.981Z
Technicolor at Paramount,ADR,https://www.technicolor.com/,2026-03-14T14:46:19.981Z
Salami Studios,ADR; Audio Post; Foley,https://www.salamistudios.com/,2026-03-14T14:46:20.981Z
The Invisible Studios,ADR; Audio Post; Music Recording,https://www.theinvisiblestudios.com/,2026-03-14T14:46:21.984Z
Smart Post Sound,ADR; Dolby Atmos; Foley,https://www.smartpostsound.com/,2026-03-14T14:46:22.986Z
