name,company,city,type,source,website,contact_name,contact_email,notes
Disney,"The Walt Disney Company","Burbank, CA",Brand,"Seed in-house list",,,,,
"HBO / Max","Warner Bros. Discovery","New York, NY",Brand,"Seed in-house list",,,,,
Hulu,"Hulu (Disney)","Santa Monica, CA",Brand,"Seed in-house list",,,,,
Paramount,"Paramount Global","New York, NY",Brand,"Seed in-house list",,,,,
NBCUniversal,NBCUniversal,"New York, NY",Brand,"Seed in-house list",,,,,
"Sony Pictures","Sony Pictures Entertainment","Culver City, CA",Brand,"Seed in-house list",,,,,
"Sony Music","Sony Music Entertainment","New York, NY",Brand,"Seed in-house list",,,,,
"Universal Music Group","Universal Music Group","Santa Monica, CA",Brand,"Seed in-house list",,,,,
"Warner Music Group","Warner Music Group","New York, NY",Brand,"Seed in-house list",,,,,
"Red Bull","Red Bull","Santa Monica, CA",Brand,"Seed in-house list",,,,,
Nike,Nike,"Beaverton, OR",Brand,"Seed in-house list",,,,,
"Adidas (US)","Adidas North America","Portland, OR",Brand,"Seed in-house list",,,,,
Lululemon,Lululemon,"Vancouver, BC / US operations",Brand,"Seed in-house list",,,,,
Patagonia,Patagonia,"Ventura, CA",Brand,"Seed in-house list",,,,,
"The North Face","The North Face","Denver, CO",Brand,"Seed in-house list",,,,,
Sephora,"Sephora USA","San Francisco, CA",Brand,"Seed in-house list",,,,,
Glossier,Glossier,"New York, NY",Brand,"Seed in-house list",,,,,
Starbucks,Starbucks,"Seattle, WA",Brand,"Seed in-house list",,,,,
Chipotle,"Chipotle Mexican Grill","Newport Beach, CA",Brand,"Seed in-house list",,,,,
"Domino's","Domino's","Ann Arbor, MI",Brand,"Seed in-house list",,,,,
Target,Target,"Minneapolis, MN",Brand,"Seed in-house list",,,,,
Walmart,Walmart,"Bentonville, AR",Brand,"Seed in-house list",,,,,
"Best Buy","Best Buy","Richfield, MN",Brand,"Seed in-house list",,,,,
"IKEA (US)","IKEA U.S.","Conshohocken, PA",Brand,"Seed in-house list",,,,,
